2012-09-11 05:11:05 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2012-09-11 05:11:05 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2012-09-11 05:11:05 install libc-bin <none> 2.13-20ubuntu5
2012-09-11 05:11:05 status half-installed libc-bin 2.13-20ubuntu5
2012-09-11 05:11:05 status unpacked libc-bin 2.13-20ubuntu5
2012-09-11 05:11:05 status unpacked libc-bin 2.13-20ubuntu5
2012-09-11 05:11:05 upgrade libc6 2.13-20ubuntu5 2.13-20ubuntu5
2012-09-11 05:11:05 status half-configured libc6 2.13-20ubuntu5
2012-09-11 05:11:05 status unpacked libc6 2.13-20ubuntu5
2012-09-11 05:11:05 status half-installed libc6 2.13-20ubuntu5
2012-09-11 05:11:05 status half-installed libc6 2.13-20ubuntu5
2012-09-11 05:11:05 status unpacked libc6 2.13-20ubuntu5
2012-09-11 05:11:05 status unpacked libc6 2.13-20ubuntu5
2012-09-11 05:11:05 install libcomerr2 <none> 1.41.14-1ubuntu3
2012-09-11 05:11:05 status half-installed libcomerr2 1.41.14-1ubuntu3
2012-09-11 05:11:05 status unpacked libcomerr2 1.41.14-1ubuntu3
2012-09-11 05:11:05 status unpacked libcomerr2 1.41.14-1ubuntu3
2012-09-11 05:11:05 install libdb5.1 <none> 5.1.25-11
2012-09-11 05:11:05 status half-installed libdb5.1 5.1.25-11
2012-09-11 05:11:06 status unpacked libdb5.1 5.1.25-11
2012-09-11 05:11:06 status unpacked libdb5.1 5.1.25-11
2012-09-11 05:11:06 install libdbus-1-3 <none> 1.4.14-1ubuntu1
2012-09-11 05:11:06 status half-installed libdbus-1-3 1.4.14-1ubuntu1
2012-09-11 05:11:06 status unpacked libdbus-1-3 1.4.14-1ubuntu1
2012-09-11 05:11:06 status unpacked libdbus-1-3 1.4.14-1ubuntu1
2012-09-11 05:11:06 install libdrm-intel1 <none> 2.4.26-1ubuntu1
2012-09-11 05:11:06 status half-installed libdrm-intel1 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm-intel1 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm-intel1 2.4.26-1ubuntu1
2012-09-11 05:11:06 install libdrm-nouveau1a <none> 2.4.26-1ubuntu1
2012-09-11 05:11:06 status half-installed libdrm-nouveau1a 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm-nouveau1a 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm-nouveau1a 2.4.26-1ubuntu1
2012-09-11 05:11:06 install libdrm-radeon1 <none> 2.4.26-1ubuntu1
2012-09-11 05:11:06 status half-installed libdrm-radeon1 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm-radeon1 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm-radeon1 2.4.26-1ubuntu1
2012-09-11 05:11:06 install libdrm2 <none> 2.4.26-1ubuntu1
2012-09-11 05:11:06 status half-installed libdrm2 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm2 2.4.26-1ubuntu1
2012-09-11 05:11:06 status unpacked libdrm2 2.4.26-1ubuntu1
2012-09-11 05:11:06 install libffi6 <none> 3.0.11~rc1-2
2012-09-11 05:11:06 status half-installed libffi6 3.0.11~rc1-2
2012-09-11 05:11:06 status unpacked libffi6 3.0.11~rc1-2
2012-09-11 05:11:06 status unpacked libffi6 3.0.11~rc1-2
2012-09-11 05:11:06 install libgcc1 <none> 1:4.6.1-9ubuntu3
2012-09-11 05:11:06 status half-installed libgcc1 1:4.6.1-9ubuntu3
2012-09-11 05:11:06 status unpacked libgcc1 1:4.6.1-9ubuntu3
2012-09-11 05:11:06 status unpacked libgcc1 1:4.6.1-9ubuntu3
2012-09-11 05:11:06 install libglib2.0-0 <none> 2.30.0-0ubuntu4
2012-09-11 05:11:06 status half-installed libglib2.0-0 2.30.0-0ubuntu4
2012-09-11 05:11:06 status unpacked libglib2.0-0 2.30.0-0ubuntu4
2012-09-11 05:11:06 status unpacked libglib2.0-0 2.30.0-0ubuntu4
2012-09-11 05:11:06 install libklibc <none> 1.5.22-1ubuntu2
2012-09-11 05:11:06 status half-installed libklibc 1.5.22-1ubuntu2
2012-09-11 05:11:06 status unpacked libklibc 1.5.22-1ubuntu2
2012-09-11 05:11:06 status unpacked libklibc 1.5.22-1ubuntu2
2012-09-11 05:11:06 install liblzma2 <none> 5.0.0-2
2012-09-11 05:11:06 status half-installed liblzma2 5.0.0-2
2012-09-11 05:11:06 status unpacked liblzma2 5.0.0-2
2012-09-11 05:11:06 status unpacked liblzma2 5.0.0-2
2012-09-11 05:11:06 install libmount1 <none> 2.19.1-2ubuntu3
2012-09-11 05:11:06 status half-installed libmount1 2.19.1-2ubuntu3
2012-09-11 05:11:06 status unpacked libmount1 2.19.1-2ubuntu3
2012-09-11 05:11:06 status unpacked libmount1 2.19.1-2ubuntu3
2012-09-11 05:11:06 install libncurses5 <none> 5.9-1ubuntu5
2012-09-11 05:11:06 status half-installed libncurses5 5.9-1ubuntu5
2012-09-11 05:11:06 status unpacked libncurses5 5.9-1ubuntu5
2012-09-11 05:11:06 status unpacked libncurses5 5.9-1ubuntu5
2012-09-11 05:11:06 install libncursesw5 <none> 5.9-1ubuntu5
2012-09-11 05:11:06 status half-installed libncursesw5 5.9-1ubuntu5
2012-09-11 05:11:06 status unpacked libncursesw5 5.9-1ubuntu5
2012-09-11 05:11:06 status unpacked libncursesw5 5.9-1ubuntu5
2012-09-11 05:11:06 install libnih-dbus1 <none> 1.0.3-4ubuntu2
2012-09-11 05:11:06 status half-installed libnih-dbus1 1.0.3-4ubuntu2
2012-09-11 05:11:06 status unpacked libnih-dbus1 1.0.3-4ubuntu2
2012-09-11 05:11:06 status unpacked libnih-dbus1 1.0.3-4ubuntu2
2012-09-11 05:11:06 install libnih1 <none> 1.0.3-4ubuntu2
2012-09-11 05:11:06 status half-installed libnih1 1.0.3-4ubuntu2
2012-09-11 05:11:06 status unpacked libnih1 1.0.3-4ubuntu2
2012-09-11 05:11:06 status unpacked libnih1 1.0.3-4ubuntu2
2012-09-11 05:11:06 install libpam-modules <none> 1.1.3-2ubuntu1
2012-09-11 05:11:06 status half-installed libpam-modules 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam-modules 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam-modules 1.1.3-2ubuntu1
2012-09-11 05:11:06 install libpam-modules-bin <none> 1.1.3-2ubuntu1
2012-09-11 05:11:06 status half-installed libpam-modules-bin 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam-modules-bin 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam-modules-bin 1.1.3-2ubuntu1
2012-09-11 05:11:06 install libpam-runtime <none> 1.1.3-2ubuntu1
2012-09-11 05:11:06 status half-installed libpam-runtime 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam-runtime 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam-runtime 1.1.3-2ubuntu1
2012-09-11 05:11:06 install libpam0g <none> 1.1.3-2ubuntu1
2012-09-11 05:11:06 status half-installed libpam0g 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam0g 1.1.3-2ubuntu1
2012-09-11 05:11:06 status unpacked libpam0g 1.1.3-2ubuntu1
2012-09-11 05:11:06 install libpciaccess0 <none> 0.12.1-2
